STORE,HYBRIS_SKU_CODE,Current Available Stock Level,Available to Sell,Timestamp,Allow Oversell
H0888001,H0888001_S_10012880,0,0,20190820110636,false
H0888001,H0888001_S_10010340,0,0,20190820110636,false
H0888001,H0888001_S_P10003505,0,0,20190820110636,false
H0888001,H0888001_S_10016327,0,0,20190820110636,false
H0888001,H0888001_S_10016049,0,0,20190820110636,false
H0888001,H0888001_S_10130996,0,0,20190820110636,false
H0888001,H0888001_S_10012081,0,0,20190820110636,false
H0888001,H0888001_S_10130999,0,0,20190820110636,false
H0888001,H0888001_S_10130998,0,0,20190820110636,false
H0888001,H0888001_S_10012082,0,0,20190820110636,false
H0888001,H0888001_S_10009749,0,0,20190820110636,false
H0888001,H0888001_S_10131200,0,0,20190820110636,false
H0888001,H0888001_S_10050007,0,0,20190820110636,false
H0888001,H0888001_S_10007445,0,0,20190820110636,false
H0888001,H0888001_S_10030596,0,0,20190820110636,false
H0888001,H0888001_S_10004179,0,0,20190820110636,false
H0888001,H0888001_S_10013976,0,0,20190820110636,false
H0888001,H0888001_S_10012402,0,0,20190820110636,false
H0888001,H0888001_S_10132095,0,0,20190820110636,false
H0888001,H0888001_S_P10017469,0,0,20190820110636,false
H0888001,H0888001_S_10132094,0,0,20190820110636,false
H0888001,H0888001_S_10013187,0,0,20190820110636,false
H0888001,H0888001_S_10016339,0,0,20190820110636,false
H0888001,H0888001_S_10014436,0,0,20190820110636,false
H0888001,H0888001_S_10013621,0,0,20190820110636,false
H0888001,H0888001_S_10017300,0,0,20190820110636,false
H0888001,H0888001_S_10017303,0,0,20190820110636,false
H0888001,H0888001_S_10019445,0,0,20190820110636,false
H0888001,H0888001_S_10018199,0,0,20190820110636,false
H0888001,H0888001_S_10001978,0,0,20190820110636,false
H0888001,H0888001_S_10018198,0,0,20190820110636,false
H0888001,H0888001_S_10018233,0,0,20190820110636,false
H0888001,H0888001_S_10016050,0,0,20190820110636,false
H0888001,H0888001_S_10018197,0,0,20190820110636,false
H0888001,H0888001_S_10005932,0,0,20190820110636,false
H0888001,H0888001_S_10000240,0,0,20190820110636,false
H0888001,H0888001_S_10004167,0,0,20190820110636,false
H0888001,H0888001_S_10007710,0,0,20190820110636,false
H0888001,H0888001_S_10004287,0,0,20190820110636,false
H0888001,H0888001_S_10130640,0,0,20190820110636,false
H0888001,H0888001_S_10009611,0,0,20190820110636,false
H0888001,H0888001_S_10009610,0,0,20190820110636,false
H0888001,H0888001_S_10004284,0,0,20190820110636,false
H0888001,H0888001_S_10014439,0,0,20190820110636,false
H0888001,H0888001_S_10004280,0,0,20190820110636,false
H0888001,H0888001_S_10020605,0,0,20190820110636,false
H0888001,H0888001_S_10020608,0,0,20190820110636,false
H0888001,H0888001_S_10014326,0,0,20190820110636,false
H0888001,H0888001_S_10018489,0,0,20190820110636,false
H0888001,H0888001_S_10020609,0,0,20190820110636,false
H0888001,H0888001_S_10016068,0,0,20190820110636,false
H0888001,H0888001_S_10016069,0,0,20190820110636,false
H0888001,H0888001_S_10130336,0,0,20190820110636,false
H0888001,H0888001_S_10022227,0,0,20190820110636,false
H0888001,H0888001_S_10016067,0,0,20190820110636,false
H0888001,H0888001_S_10020601,0,0,20190820110636,false
H0888001,H0888001_S_10009608,0,0,20190820110636,false
H0888001,H0888001_S_10008639,0,0,20190820110636,false
